STATE,COUNTY,STNAME,COUNTY_NAME,YEAR,AGEGRP,POPULATION,GENDER
6,3,California,Alpine,13,8,37,M
6,3,California,Alpine,13,9,43,M
6,3,California,Alpine,13,10,47,M
6,3,California,Alpine,13,11,57,M
6,3,California,Alpine,13,12,68,M
6,3,California,Alpine,13,13,59,M
6,3,California,Alpine,13,14,35,M
6,3,California,Alpine,13,15,17,M
6,3,California,Alpine,13,16,20,M
6,3,California,Alpine,13,17,6,M
6,3,California,Alpine,13,18,3,M
6,3,California,Alpine,13,99,585,M
6,5,California,Amador,1,0,149,M
6,5,California,Amador,1,1,586,M
6,5,California,Amador,1,2,982,M
6,5,California,Amador,1,3,1125,M
6,5,California,Amador,1,4,1795,M
6,5,California,Amador,1,5,969,M
6,5,California,Amador,1,6,1035,M
6,5,California,Amador,1,7,1234,M
6,5,California,Amador,1,8,1640,M
6,5,California,Amador,1,9,1727,M
6,5,California,Amador,1,10,1526,M
6,5,California,Amador,1,11,1471,M
6,5,California,Amador,1,12,1126,M
6,5,California,Amador,1,13,985,M
6,5,California,Amador,1,14,865,M
6,5,California,Amador,1,15,864,M
6,5,California,Amador,1,16,647,M
6,5,California,Amador,1,17,394,M
6,5,California,Amador,1,18,208,M
6,5,California,Amador,1,99,19328,M
6,5,California,Amador,2,0,149,M
6,5,California,Amador,2,1,583,M
6,5,California,Amador,2,2,979,M
6,5,California,Amador,2,3,1131,M
6,5,California,Amador,2,4,1787,M
6,5,California,Amador,2,5,971,M
6,5,California,Amador,2,6,1025,M
6,5,California,Amador,2,7,1225,M
6,5,California,Amador,2,8,1632,M
6,5,California,Amador,2,9,1728,M
6,5,California,Amador,2,10,1537,M
6,5,California,Amador,2,11,1486,M
6,5,California,Amador,2,12,1137,M
6,5,California,Amador,2,13,990,M
6,5,California,Amador,2,14,866,M
6,5,California,Amador,2,15,866,M
6,5,California,Amador,2,16,651,M
6,5,California,Amador,2,17,401,M
6,5,California,Amador,2,18,210,M
6,5,California,Amador,2,99,19354,M
6,5,California,Amador,3,0,128,M
6,5,California,Amador,3,1,619,M
6,5,California,Amador,3,2,940,M
6,5,California,Amador,3,3,1129,M
6,5,California,Amador,3,4,1764,M
6,5,California,Amador,3,5,984,M
6,5,California,Amador,3,6,1001,M
6,5,California,Amador,3,7,1217,M
6,5,California,Amador,3,8,1602,M
6,5,California,Amador,3,9,1725,M
6,5,California,Amador,3,10,1563,M
6,5,California,Amador,3,11,1593,M
6,5,California,Amador,3,12,1251,M
6,5,California,Amador,3,13,1073,M
6,5,California,Amador,3,14,887,M
6,5,California,Amador,3,15,817,M
6,5,California,Amador,3,16,666,M
6,5,California,Amador,3,17,417,M
6,5,California,Amador,3,18,230,M
6,5,California,Amador,3,99,19606,M
6,5,California,Amador,4,0,146,M
6,5,California,Amador,4,1,610,M
6,5,California,Amador,4,2,962,M
6,5,California,Amador,4,3,1103,M
6,5,California,Amador,4,4,1801,M
6,5,California,Amador,4,5,1008,M
6,5,California,Amador,4,6,1014,M
6,5,California,Amador,4,7,1223,M
6,5,California,Amador,4,8,1556,M
6,5,California,Amador,4,9,1741,M
6,5,California,Amador,4,10,1660,M
6,5,California,Amador,4,11,1572,M
6,5,California,Amador,4,12,1430,M
6,5,California,Amador,4,13,1149,M
6,5,California,Amador,4,14,920,M
6,5,California,Amador,4,15,809,M
6,5,California,Amador,4,16,669,M
6,5,California,Amador,4,17,455,M
6,5,California,Amador,4,18,245,M
6,5,California,Amador,4,99,20073,M
6,5,California,Amador,5,0,148,M
6,5,California,Amador,5,1,619,M
